date,item_reference,product_name,description,size,price,category,product_type,quantity
11/15/2018,3877043,"Camon CM 5.7-Inch-2GB, 16GB ROM- Android 7.0, 13MP + 13MP Smartphone - Midnight Black","Camon CM 5.7-Inch-2GB, 16GB ROM- Android 7.0, 13MP + 13MP Smartphone - Midnight Black",,4000,Phones and Tablets,blackfriday,34
11/15/2018,3877044,"Hot 5 3G 5.5-Inch -2GB, 16GB ROM- Android 7.0, 8MP + 5MP Smartphone-Black","Hot 5 3G 5.5-Inch -2GB, 16GB ROM- Android 7.0, 8MP + 5MP Smartphone-Black",,4000,Phones and Tablets,blackfriday,40
11/15/2018,3877045,"Camon CX 5.5-Inch -2GB, 16GB ROM- Android 7.0, 16MP + 16MP Smartphone-Blue","Camon CX 5.5-Inch -2GB, 16GB ROM- Android 7.0, 16MP + 16MP Smartphone-Blue",,4000,Phones and Tablets,blackfriday,21
11/15/2018,3877046,"Camon CX 5.5-Inch -2GB, 16GB ROM- Android 7.0, 16MP + 16MP Smartphone-Champagne Gold","Camon CX 5.5-Inch -2GB, 16GB ROM- Android 7.0, 16MP + 16MP Smartphone-Champagne Gold",,4000,Phones and Tablets,blackfriday,14
11/15/2018,3877047,"Hot 5 3G 5.5-Inch -2GB, 16GB ROM- Android 7.0, 8MP + 5MP Smartphone-Champagne Gold","Hot 5 3G 5.5-Inch -2GB, 16GB ROM- Android 7.0, 8MP + 5MP Smartphone-Champagne Gold",,4000,Phones and Tablets,blackfriday,20
11/15/2018,3877048,"Hot 5 5.5-Inch -1GB, 16GB ROM- Android 7.0, 8MP + 5MP Smartphone- Gold","Hot 5 5.5-Inch -1GB, 16GB ROM- Android 7.0, 8MP + 5MP Smartphone- Gold",,4000,Phones and Tablets,blackfriday,10
11/15/2018,3877050,"Camon CX 5.5-Inch -2GB, 16GB ROM- Android 7.0, 16MP + 16MP Smartphone-Grey","Camon CX 5.5-Inch -2GB, 16GB ROM- Android 7.0, 16MP + 16MP Smartphone-Grey",,4000,Phones and Tablets,blackfriday,15
11/15/2018,3877053,"Camon CX Air -2GB, 16GB ROM- Android 7.0, 13MP + 13MP Smartphone-Grey","Camon CX Air -2GB, 16GB ROM- Android 7.0, 13MP + 13MP Smartphone-Grey",,4000,Phones and Tablets,blackfriday,12
11/15/2018,3877056,"Camon CX Air 5.5-Inch -2GB, 16GB ROM- Android 7.0, 13MP + 13MP Smartphone-Gold","Camon CX Air 5.5-Inch -2GB, 16GB ROM- Android 7.0, 13MP + 13MP Smartphone-Gold",,4000,Phones and Tablets,blackfriday,25
11/15/2018,3877057,"Note 4 5.7-Inch -2GB, 16GB ROM- Android 7.0, 13MP + 8MP Smartphone-Black","Note 4 5.7-Inch -2GB, 16GB ROM- Android 7.0, 13MP + 8MP Smartphone-Black",,4000,Phones and Tablets,blackfriday,9
11/15/2018,3877068,"2 5-Inch -1GB, 8GB ROM- Android 7.1, 8MP + 5MP Smartphone - Pewter Black","3 5-Inch -1GB, 8GB ROM- Android 7.1, 8MP + 5MP Smartphone - Pewter Black",,4000,Phones and Tablets,blackfriday,1307
11/15/2018,3877069,"Spark K8 5.5 Inch -1GB, 16GB ROM- Android 7.0, 13MP + 8MP Smartphone - Black","Spark K8 5.5 Inch -1GB, 16GB ROM- Android 7.0, 13MP + 8MP Smartphone - Black",,4000,Phones and Tablets,blackfriday,12
11/15/2018,3877072,"Spark K8 5.5 Inch -1GB, 16GB ROM- Android 7.0, 13MP + 8MP Smartphone - Champagne Gold","Spark K8 5.5 Inch -1GB, 16GB ROM- Android 7.0, 13MP + 8MP Smartphone - Champagne Gold",,4000,Phones and Tablets,blackfriday,8
11/15/2018,3877077,"5 5.2-Inch -2GB, 16GB ROM- Android 7.0, 13MP + 8MP Smartphone - Matte Black","6 5.2-Inch -2GB, 16GB ROM- Android 7.0, 13MP + 8MP Smartphone - Matte Black",,4000,Phones and Tablets,blackfriday,20
11/15/2018,3877101,Polycrystalline Solar Panel -250 Watts,Polycrystalline Solar Panel -250 Watts,,4000,Automobile & Industrial,blackfriday,14
11/15/2018,3877103,"Z100 Gtx Notebook Intel Atom 1.9ghz (2gb, 32gb Emmc), 14-inch, Win 10 Laptop-silver","Z100 Gtx Notebook Intel Atom 1.9ghz (2gb, 32gb Emmc), 14-inch, Win 10 Laptop-silver",,4000,Computers and Accessories,blackfriday,16
11/15/2018,3877106,P200 Inverter Battery 100Ah/12V,P200 Inverter Battery 100Ah/12V,,4000,Automobile & Industrial,blackfriday,7
11/15/2018,3877108,"Galaxy J5 Prime 5.0-Inch -2GB, 16GB ROM- Android 6.0, 13MP + 5MP Smartphone - Gold","Galaxy J5 Prime 5.0-Inch -2GB, 16GB ROM- Android 6.0, 13MP + 5MP Smartphone - Gold",,4000,Phones and Tablets,blackfriday,16
11/15/2018,3877110,"Galaxy J5 Prime 5.0-Inch -2GB, 16GB ROM- Android 6.0, 13MP + 5MP Smartphone - Black","Galaxy J5 Prime 5.0-Inch -2GB, 16GB ROM- Android 6.0, 13MP + 5MP Smartphone - Black",,4000,Phones and Tablets,blackfriday,10
11/15/2018,3877113,"Z100 Gtx Notebook Intel Atom 1.9ghz (2gb, 32gb Emmc), 14-inch, Win 10 Laptop-grey","Z100 Gtx Notebook Intel Atom 1.9ghz (2gb, 32gb Emmc), 14-inch, Win 10 Laptop-grey",,4000,Computers and Accessories,blackfriday,7
11/15/2018,3877117,"Galaxy J7 Prime | 3GB, 16GB | Gold","Galaxy J7 Prime | 3GB, 16GB | Gold",,4000,Phones and Tablets,blackfriday,24
11/15/2018,3879036,Home Theatre System - Dj-5050bt,Home Theatre System - Dj-5050bt,,4000,Electronics,blackfriday,9
11/15/2018,3879097,Home Hair Clipper - Series 3000 - HC3100 - Black,Home Hair Clipper - Series 3000 - HC3100 - Black,,4000,"Beauty, Health & Personal Care",blackfriday,30
11/15/2018,3879175,Micro Finish Elegant Trimmer For Ladies - 5640-116 - Silver & Black,Micro Finish Elegant Trimmer For Ladies - 5640-116 - Silver & Black,,4000,"Beauty, Health & Personal Care",blackfriday,9
11/15/2018,3879204,"15 Jaguar -  Intel Celeron 1.6GHZ - 4GB, 500GB HDD - 15.6"" - Win 10 Home Laptop - Black","16 Jaguar -  Intel Celeron 1.6GHZ - 4GB, 500GB HDD - 15.6"" - Win 10 Home Laptop - Black",,4000,Computers and Accessories,blackfriday,48
11/15/2018,3879211,Deskjet 2130 All-in-one Printer - White,Deskjet 2130 All-in-one Printer - White,,4000,Computers and Accessories,blackfriday,16
11/15/2018,3880863,"Slimline Desktop - 4 GB, 1 TB - Intel Celeron, Win 10 - Black","Slimline Desktop - 4 GB, 1 TB - Intel Celeron, Win 10 - Black",,4000,Computers and Accessories,blackfriday,21
11/15/2018,3880868,"Z200 Gtx Notebook Intel Atom 1.9ghz - 2 GB, 32GB Emmc - 14-inch, Win 10 Laptop - Gold","Z200 Gtx Notebook Intel Atom 1.9ghz - 2 GB, 32GB Emmc - 14-inch, Win 10 Laptop - Gold",,4000,Computers and Accessories,blackfriday,10
11/15/2018,3881368,Snazil Oil For Fast Hair Growth,Snazil Oil For Fast Hair Growth,,4000,"Beauty, Health & Personal Care",blackfriday,13
11/15/2018,3882719,655 Ink Cartridge - Magenta,656 Ink Cartridge - Magenta,,4000,Computers and Accessories,blackfriday,17
11/15/2018,3882720,655 Ink Cartridge - Cyan,656 Ink Cartridge - Cyan,,4000,Computers and Accessories,blackfriday,17
11/15/2018,3882721,950 Ink Cartridge - Black,950 Ink Cartridge - Black,,4000,Computers and Accessories,blackfriday,12
11/15/2018,3882722,655 Ink Cartridge - Black,655 Ink Cartridge - Black,,4000,Computers and Accessories,blackfriday,10
11/15/2018,3882723,19.5-inch Display Monitor - Black,19.5-inch Display Monitor - Black,,4000,Computers and Accessories,blackfriday,16
11/15/2018,3882725,Windows 7 Ultimate English Dvd Box,Windows 7 Ultimate English Dvd Box,,4000,Computers and Accessories,blackfriday,18
11/15/2018,3885240,Internet Security MD 4 2018 - 4 Users (3 + 1 Free),Internet Security MD 4 2018 - 4 Users (3 + 1 Free),,4000,Computers and Accessories,blackfriday,7
11/15/2018,3885283,2200mah Powerbank,2200mah Powerbank,,4000,Phones and Tablets,blackfriday,7
11/15/2018,3885290,10400mah Power Bank - Pink,10400mah Power Bank - Pink,,4000,Phones and Tablets,blackfriday,8
11/15/2018,3885295,"iPhone 7 4.7-inch - 2GB, 32GB Rom -  iOS 10, 12mp + 7mp Smartphone - Gold","iPhone 7 4.7-inch - 2GB, 32GB Rom -  iOS 10, 12mp + 7mp Smartphone - Gold",,4000,Phones and Tablets,blackfriday,10
11/15/2018,3885304,Office Mac Home Student 2011 EN DVD,Office Mac Home Student 2011 EN DVD,,4000,Computers and Accessories,blackfriday,7
11/15/2018,3885320,18'' Rechargeable Fan With Remote Lrf1858-b - Black,18'' Rechargeable Fan With Remote Lrf1858-b - Black,,4000,Home and Kitchen,blackfriday,174
11/15/2018,3885324,18'' Rechargeable Fan With Remote Lrf1858-g - Grey,18'' Rechargeable Fan With Remote Lrf1858-g - Grey,,4000,Home and Kitchen,blackfriday,75
11/15/2018,3885336,Laserjet Pro Mfp M130fn Printer - White,Laserjet Pro Mfp M130fn Printer - White,,4000,Computers and Accessories,blackfriday,8
11/15/2018,3885346,Essential Power Bank - Black,Essential Power Bank - Black,,4000,Phones and Tablets,blackfriday,13
11/15/2018,3885352,Main Charger - Black + Dual USB,Main Charger - Black + Dual USB,,4000,Phones and Tablets,blackfriday,14
11/15/2018,3885363,8gb Micro Sd Card + Sd Adapter,8gb Micro Sd Card + Sd Adapter,,4000,Phones and Tablets,blackfriday,9
11/15/2018,3885364,16gb Micro SD Card + Sd Adapter Sdsdqm-016g-b35a,16gb Micro SD Card + Sd Adapter Sdsdqm-016g-b35a,,4000,Phones and Tablets,blackfriday,17
11/15/2018,3885368,T-band Bracelet  - Pearl Gold,T-band Bracelet  - Pearl Gold,,4000,Phones and Tablets,blackfriday,11
11/15/2018,3887994,24-Inch MT48AN Movie HD LED Television - Black,24-Inch MT48AN Movie HD LED Television - Black,,4000,Electronics,blackfriday,7
11/15/2018,3887996,DJ-L2 Home Theatre System,DJ-L2 Home Theatre System,,4000,Electronics,blackfriday,15
11/15/2018,3888003,DJ-6082BT Home Theatre System,DJ-6082BT Home Theatre System,,4000,Electronics,blackfriday,12
11/15/2018,3888029,DJ-5030BT Home Theatre System,DJ-5030BT Home Theatre System,,4000,Electronics,blackfriday,17
11/15/2018,3889045,PS4 FIFA 18,PS4 FIFA 19,,4000,Electronics,blackfriday,12
11/15/2018,3889235,15W Energy Saving Bulb,15W Energy Saving Bulb,,4000,Home and Kitchen,blackfriday,49
11/15/2018,3889236,60W B22  INCANDESCENT BULB,60W B22  INCANDESCENT BULB,,4000,Home and Kitchen,blackfriday,24
11/15/2018,3889248,Vegetable Oil - 1L,Vegetable Oil - 1L,,4000,Drinks & Groceries,blackfriday,108
11/15/2018,3889250,11W Energy Saving Bulb,11W Energy Saving Bulb,,4000,Home and Kitchen,blackfriday,57
11/15/2018,3889256,Whiskey  - 75cl - Single Bottle,Whiskey  - 75cl - Single Bottle,,4000,Drinks & Groceries,blackfriday,41
11/15/2018,3889257,Red - 75cl  14% acl. (Single Bottle),Red - 75cl  14% acl. (Single Bottle),,4000,Drinks & Groceries,blackfriday,125
11/15/2018,3889264,XO - 70cl  40% acl. (Single Bottle),XO - 70cl  40% acl. (Single Bottle),,4000,Drinks & Groceries,blackfriday,557
11/15/2018,3889269,Tequila Blanco 75cl  40% acl. (Single Bottle),Tequila Blanco 75cl  40% acl. (Single Bottle),,4000,Drinks & Groceries,blackfriday,79
11/15/2018,3889270,Brut Diamond Suit Imperial - 75cl  12% acl. (Single Bottle),Brut Diamond Suit Imperial - 75cl  12% acl. (Single Bottle),,4000,Drinks & Groceries,blackfriday,111
11/15/2018,3889271,Tequila Gold 75cl  38% acl. (Single Bottle),Tequila Gold 75cl  38% acl. (Single Bottle),,4000,Drinks & Groceries,blackfriday,52
11/15/2018,3889272,Raspberries Fruit Wine - 100cl  10% acl. (Single Bottle),Raspberries Fruit Wine - 100cl  10% acl. (Single Bottle),,4000,Drinks & Groceries,blackfriday,9
11/15/2018,3889274,Premium 75cl Non-Alcohol (Single Bottle),Premium 75cl Non-Alcohol (Single Bottle),,4000,Drinks & Groceries,blackfriday,15
11/15/2018,3889277,Vodka- 100cl (Single Bottle),Vodka- 100cl (Single Bottle),,4000,Drinks & Groceries,blackfriday,40
11/15/2018,3889278,"Black Dog 12Yrs Whisky 75cl, 42% acl. (Single Bottle)","Black Dog 12Yrs Whisky 75cl, 42% acl. (Single Bottle)",,4000,Drinks & Groceries,blackfriday,8
11/15/2018,3889284,70cl VSOP - Single Bottle,70cl VSOP - Single Bottle,,4000,Drinks & Groceries,blackfriday,218
11/15/2018,3889317,Blanca 75cl  37.5% acl. - Single Bottle,Blanca 75cl  37.5% acl. - Single Bottle,,4000,Drinks & Groceries,blackfriday,46
11/15/2018,3889319,Gin - 70cl  37.5% acl. (Single Bottle),Gin - 70cl  37.5% acl. (Single Bottle),,4000,Drinks & Groceries,blackfriday,38
11/15/2018,3889333,Vodka Infusions Passion Fruit-100cl (Single Bottle),Vodka Infusions Passion Fruit-100cl (Single Bottle),,4000,Drinks & Groceries,blackfriday,13
11/15/2018,3889334,Vodka Blue - 1Ltr  50% acl. (Single Bottle),Vodka Blue - 1Ltr  50% acl. (Single Bottle),,4000,Drinks & Groceries,blackfriday,292
11/15/2018,3889336,Ice Imperial - 75cl  12% acl. (Single Bottle),Ice Imperial - 75cl  12% acl. (Single Bottle),,4000,Drinks & Groceries,blackfriday,198
11/15/2018,3889342,Bitters- 100cl - Single Bottle,Bitters- 100cl - Single Bottle,,4000,Drinks & Groceries,blackfriday,90
11/15/2018,3889343,Whisky - 70cl  40% acl. (Single Bottle),Whisky - 70cl  40% acl. (Single Bottle),,4000,Drinks & Groceries,blackfriday,42
11/15/2018,3889344,Cuvee Speciale( Red)  - 75cl  12.5% acl. (Single Bottle),Cuvee Speciale( Red)  - 75cl  12.5% acl. (Single Bottle),,4000,Drinks & Groceries,blackfriday,94
11/15/2018,3889345,Vodka Vanilla 1L  40% acl. (Single Bottle),Vodka Vanilla 1L  40% acl. (Single Bottle),,4000,Drinks & Groceries,blackfriday,43
11/15/2018,3889346,Imperial 75cl  12% acl. (Single Bottle),Imperial 75cl  12% acl. (Single Bottle),,4000,Drinks & Groceries,blackfriday,279
11/15/2018,3889347,"Absolut Vodka Raspberry 1L, 40% acl. (Single Bottle)","Absolut Vodka Raspberry 1L, 40% acl. (Single Bottle)",,4000,Drinks & Groceries,blackfriday,29
11/15/2018,3889349,Xo Cafe - 75cl  35% acl. (Single Bottle),Xo Cafe - 75cl  35% acl. (Single Bottle),,4000,Drinks & Groceries,blackfriday,13
11/15/2018,3889368,Sparkling Rose 75cl  9.5% acl. (Single Bottle),Sparkling Rose 75cl  9.5% acl. (Single Bottle),,4000,Drinks & Groceries,blackfriday,133
